Area (Hectares),N,P,K,pH,Temperature,Rainfall,Humidity,Crop Name,Yield
0.576716555,91,16,23,7.4,32,232,57,Wheat,1.883244222
0.408147551,91,16,23,7.4,22,217,61,Maize,1.920296617
0.194819588,91,16,23,7.4,29,184,65,Paddy,2.830383884
0.78535967,91,16,23,7.4,16,190,76,Wheat,2.522850347
0.158009831,91,16,23,7.4,14,164,58,Sugarcane,51.83980721
0.010797988,90,12,26,7.9,10,216,65,Wheat,1.192718818
0.541290634,91,16,23,7.4,8,176,65,Wheat,1.536261683
0.3015455,91,16,23,7.4,7,230,82,Wheat,2.385721263
0.58483674,91,16,23,7.4,30,190,77,Wheat,1.311125482
0.310789366,91,16,23,7.4,15,150,67,Sugarcane,43.12345862
0.01380867,91,16,23,7.4,32,182,69,Wheat,2.659181859
0.255079891,91,16,23,7.4,13,235,71,Wheat,2.593339283
0.125163797,91,16,23,7.4,23,195,79,Maize,1.908566419
0.135833525,91,16,23,7.4,22,209,63,Sugarcane,57.09055818
0.173958759,91,16,23,7.4,31,190,62,Maize,1.259892097
0.357579704,91,16,23,7.4,30,161,83,Maize,1.541487632
0.328088608,91,16,23,7.4,25,235,58,Paddy,2.854228433
0.016988823,91,16,23,7.4,23,191,61,Wheat,1.070192908
0.9157228,91,16,23,7.4,22,228,64,Sugarcane,44.15994435
0.52677095,91,16,23,7.4,28,176,77,Sugarcane,55.96364389
0.27654588,91,16,23,7.4,21,192,71,Sugarcane,45.65538232
0.331035115,91,16,23,7.4,20,205,87,Paddy,1.161391541
0.219471417,91,16,23,7.4,30,203,71,Maize,1.39280665
0.386625345,91,16,23,7.4,26,231,57,Paddy,2.386986787
0.374359224,91,16,23,7.4,12,166,72,Paddy,1.246844899
0.13625237,91,16,23,7.4,22,204,62,Sugarcane,53.49783668
0.230104554,91,16,23,7.4,16,173,62,Maize,1.126838638
0.13879568,91,16,23,7.4,10,197,83,Paddy,2.097798545
0.246547607,91,16,23,7.4,30,209,88,Sugarcane,51.87002564
0.089593801,91,16,23,7.4,32,227,57,Sugarcane,52.22794084
0.419210648,91,16,23,7.4,32,249,74,Paddy,0.978469937
0.340016961,91,16,23,7.4,13,150,63,Wheat,1.277324207
0.292128798,91,16,23,7.4,31,168,82,Paddy,2.197061537
0.037904655,91,16,23,7.4,31,160,84,Wheat,2.624815333
0.274529839,91,16,23,7.4,14,224,58,Paddy,1.103215757
0.268710413,91,16,23,7.4,18,239,78,Sugarcane,45.38255288
0.345289068,91,16,23,7.4,32,249,79,Sugarcane,54.54069162
0.194845705,91,16,23,7.4,14,179,65,Paddy,1.623233527
0.193742593,91,16,23,7.4,30,185,61,Maize,1.669889146
0.103779129,91,16,23,7.4,9,222,63,Sugarcane,54.95017226
0.054198791,91,16,23,7.4,22,185,83,Wheat,2.504891814
0.089902794,91,16,23,7.4,24,182,74,Sugarcane,42.77340564
0.293647108,91,16,23,7.4,10,225,88,Sugarcane,52.2598776
0.316364632,91,16,23,7.4,19,216,75,Maize,1.729753667
0.135297151,91,16,23,7.4,23,228,74,Maize,1.731424781
0.112116193,91,16,23,7.4,19,198,71,Maize,1.946595366
0.020873963,91,16,23,7.4,24,175,81,Sugarcane,43.82055635
0.026983821,91,16,23,7.4,18,171,64,Sugarcane,56.34341626
0.117788614,91,16,23,7.4,10,229,73,Wheat,1.550756865
0.026922981,91,16,23,7.4,18,234,84,Wheat,2.610026115
0.034575213,91,16,23,7.4,20,229,84,Wheat,1.807938845
0.007709394,91,16,23,7.4,20,178,70,Wheat,2.221773817
0.732023284,91,16,23,7.4,26,194,83,Maize,1.284152159
0.168048763,91,16,23,7.4,31,241,83,Wheat,1.753950208
0.011377057,91,16,23,7.4,32,189,67,Sugarcane,59.71495273
0.343858141,91,16,23,7.4,16,166,61,Wheat,1.168681988
0.219098312,91,16,23,7.4,31,218,69,Paddy,2.855114859
